No,Placed Company,Offers
1,Aakash Educational Services Ltd,1
2,Aakash Institute,4
3,ABB,2
4,Accenture,4
5,Adani Group,12
6,Aditya Birla Group,11
7,Air India,9
8,Allen Career Institute Pvt. Ltd.,7
9,Alphawave Semi India,4
10,Amazon,1
11,Amdocs,21
12,American Express,3
13,Anora Labs,1
14,Applied Materials India Pvt Ltd (Venue: Kochi ),1
15,Arbor Mobility Private Ltd,1
16,ArcelorMittal Nippon Steel India Limited,8
17,Arcesium Pvt. Ltd.,1
18,Armada,3
19,Aryaka Networks India Pvt. Ltd,2
20,Ashok Leyland,4
21,AstraZeneca,2
22,Auronova,1
23,Avalara,3
24,Awave Semiconductor India Pvt. Ltd. (an Alphawave Semi Company),1
25,Axis Bank Limited,5
26,Axtria,1
27,BAJAJ AUTO & CHETAK TECHNOLOGY LIMITED,19
28,Bakliwal Tutorials,2
29,BEML,3
30,Bharat Electronics Limited,10
31,Bharat Fritz Werner Ltd,5
32,Bharat Petroleum Corporation Limited,13
33,Bosch Rexroth (India) Private Limited,2
34,Calpine Tech,3
35,Capgemini Exceller Program,2
36,Carl Zeiss India (Bangalore) Pvt. Ltd,8
37,Caterpillar,13
38,CDM Smith,2
39,C-DOT,5
40,CISCO,6
41,Cogoport,8
42,Coherent,1
43,Collegedekho,4
44,COWI India (P) Ltd.,5
45,"CRL-BG,BEL",10
46,Cummins,1
47,Cybermarine,2
48,Daimler Truck Innovation Center India Private Limited,2
49,Danone India,2
50,Databricks Inc,3
51,Dell (Telecom),1
52,Deloitte USI,9
53,Delta Electronics India Pvt Ltd,7
54,DeltaX,1
55,Deutsche Bank,7
56,Dolcera,2
57,Eduport,6
58,EDUSTATION,7
59,Engineers India Limited,1
60,Essar,4
61,Esyasoft Holding,3
62,Exicom Tele-Systems Ltd.,1
63,ExxonMobil,8
64,Fastenal,2
65,Federal Bank,9
66,FIITJEE,9
67,FNZ Group,1
68,Ford Business Solutions,2
69,Ganit Inc,1
70,GE Healthcare,1
71,General Electric (Gas Power),5
72,Gmmco Ltd (CK Birla Group),8
73,Godrej & Boyce,1
74,Goldman Sachs,4
75,GSK,2
76,Havells India Limited,2
77,HCL,8
78,Hewlett Packard Enterprises,3
79,Hexaware Technologies,1
80,Hind Rectifiers Limited,3
81,Hindustan Unilever Limited,3
82,Hitachi Energy,1
83,Hiveminds,1
84,Honeywell,6
85,HPCL,10
86,IBM,12
87,IDBI Bank,4
88,Incture,4
89,Indus Towers Limited,8
90,Infineon,9
91,Infinity Learn,1
92,Infosys,5
93,Inquizity Pvt. Ltd!,2
94,Intel,12
95,Intellipaat Software Solutions,9
96,IQVIA,4
97,ITD cementation India Limited,10
98,J. K. Cement,1
99,Jindal Shadeed Iron and Steel,1
100,John Deere,1
101,JSW,19
102,Juniper Green Energy Pvt Ltd,4
103,JV Ventures,2
104,K12 Techno Services Pvt. Ltd.,1
105,Kalkitech,3
106,KLA Tencor Software India Pvt Ltd,1
107,Larsen and Toubro,62
108,Landmark Group,3
109,Latentview Analytics,2
110,Lovely Professional University,3
111,Mahindra & Mahindra,5
112,Maiyyam Knowledge and Careers Private Limited,10
113,Manappuram Finance Ltd,5
114,MAQ Software,2
115,MathWorks,3
116,McDermott,6
117,Mecon,2
118,Meesho,3
119,Merilytics,7
120,Mewurk Technologies Private Limited,1
121,Micron,6
122,MRF,6
123,Mu Sigma,2
124,Mygate,2
125,Narayana Group,2
126,National Stock Exchange,9
127,NBC Bearings,2
128,NCC Limited,1
129,NIT Calicut,1
130,NPCC Engineering Pvt Ltd. (NEL),2
131,NPCI,1
132,o9 Solutions,8
133,Ohmium ( ),3
134,One Convergence,5
135,OnMobile Global Limited,3
136,Oracle,23
137,PalTech,5
138,PharmaACE,4
139,PI Industries Ltd.,3
140,PlanetSpark,4
141,Plastic Omnium India,3
142,PricewaterhouseCoopers Private Limited ( PwC India),18
143,Proclink,2
144,Procter&Gamble,3
145,Publicis Sapient,3
146,Qualcomm,6
147,RAAM GROUP,4
148,Ramboll,1
149,Recruit CRM,1
150,Reliance Industries,15
151,Reliance Retail,7
152,Ribbon Communications,4
153,Robert Bosch,1
154,Runo,1
155,SAIPEM,8
156,Samsung Semiconductor,13
157,SANDVINE,2
158,SAP,10
159,SHADOWFAX,2
160,SKOLAR,6
161,SLB (PwD Drive),2
162,Sobha_,3
163,Software Associates (IoT Engineer),2
164,Sprinklr,3
165,Stellantis,1
166,Straive,5
167,Stryker,2
168,Sutherland,2
169,Swiss Re,2
170,SWITCH Mobility,5
171,Target Corporation,5
172,Tata Communications,3
173,Tata Consulting Engineers,4
174,Tata Electronics,6
175,TATA ELXSI,23
176,Tata Motors,31
177,TATA PROJECTS,4
178,TCS (INE Hiring),13
179,Teachnook,8
180,Technip Energies,2
181,TechnipFMC,6
182,Texas Instruments,11
183,The Affordable Organic Store,5
184,The South Indian Bank Ltd.,1
185,Tiger Analytics,3
186,Traceable,2
187,Tredence,1
188,Trinamix Inc,1
189,Turing,4
190,TurnB,1
191,TVS Motor Company,8
192,UKG(Ultimate Kronos Group),2
193,Unistring Tech Solutions (UTS),2
194,UST,12
195,Varun Beverages Ltd. (RJ Corp Group),3
196,Vedanta,9
197,VISA,7
198,Vista Consoles Electronics Pvt Ltd,2
199,VOLVO,6
200,Wabtec Corporation,4
201,Wells Fargo,13
202,Wipro,3
203,Wood Engineering,8
204,WSP,10
206,Qburst,2
207,Probus Smart Things Pvt. Ltd 2024,4
208,Hindustan Aeronautics,1
