PG Program Details,Total offers,Total Registered* *,Percentage,Min Salary,Max Salary,Avg. Salary
Planning,4,17,23.52,6.5,8,7.25
EnvironmentalGeoTech,5,21,23.8,6,6.25,6.15
Offshore Structures,18,19,94.73,6.64,18.87,8.01
Structural Engineering,24,26,92.3,5.34,12.9,7.4
Traffic & Transportation Planning,11,20,55,6,10.44,6.69
Water Resources Engineering,5,10,50,5,6.5,6
Chemical,2,2,100,7.55,7.55,7.55
Computer Science,19,24,79.16,7.2,35,15.26
Computer Science (Information Security) CS - MCA,16 40,20 53,80 75.47,7.2 4.2,34.62 29,14.62 10.63
Power Systems,10,12,83.33,6.25,12.5,9.26
High Voltage Engineering,3,4,75,5,12.24,7.91
Instrumentation and Control Systems,15,19,78.94,4.2,16.45,10.16
Industrial Power and Automation,6,8,75,7.5,12,9.17
Power Electronics,15,16,93.75,7,16.45,11.77
Electronics Design and Technology,16,18,88.88,0,27.12,14.31
Signal Processing,4,6,66.66,12.83,18.5,14.79
Telecommunication,10,11,90.9,7,21,12.75
Micro Electronics & VLSI Design,18,21,85.71,12.83,39.27,21.72
Energy Engg. & Management,8,11,72.72,6.5,9,7.34
Industrial Engg. & Management,9,19,47.36,6,23.04,11.89
Machine Design,12,17,70.58,6,16.45,11.53
Material Science & Technology,4,8,50,10,10.44,10.22
Manufacturing Technology,16,21,76.19,6,13,10.64
Thermal Sciences,21,23,91.3,6,16.45,11.72
Material Science & Engineering (Nano Technology),3,4,75,27.12,27.12,27.12
MBA,20,39,51.28,6,12,8.2
M.Sc.Physics,0,11,0,0,0,0
M.Sc.Chemistry,5,23,21.73,5,27.12,10.82
M.Sc.Mathematics,5,20,25,4.2,10.44,7.42
